TICKER,DATE,TYPE,RATE,QUANTITY
INFY.NS,3/24/20,BUY,570,13
INFY.NS,3/24/20,BUY,570,7
INFY.NS,3/24/20,BUY,570,6
MGL.NS,3/24/20,BUY,705,21
TCS.NS,3/24/20,BUY,1710,9
AJANTPHARM.NS,3/25/20,BUY,975,11
APOLLOHOSP.NS,3/25/20,BUY,1080,10
BHARTIARTL.NS,3/25/20,BUY,410,12
BHARTIARTL.NS,3/25/20,BUY,410,13
CIPLA.NS,3/25/20,BUY,375,40
COLPAL.NS,3/25/20,BUY,1125,10
GOLDBEES.NS,3/25/20,BUY,37,270
HDFCAMC.NS,3/25/20,BUY,2100,5
HDFCLIFE.NS,3/25/20,BUY,415,25
LALPATHLAB.NS,3/25/20,BUY,1365,10
PIIND.NS,3/25/20,BUY,1050,10
SYNGENE.NS,3/25/20,BUY,227,27
SYNGENE.NS,3/25/20,BUY,227,20
SYNGENE.NS,3/25/20,BUY,227,3
SYNGENE.NS,3/25/20,BUY,227,3
SYNGENE.NS,3/25/20,BUY,227,14
TORNTPHARM.NS,3/25/20,BUY,1720,4
TORNTPHARM.NS,3/25/20,BUY,1720,2
UPL.NS,3/25/20,BUY,270,38
AARTIIND.NS,3/26/20,BUY,720,14
APOLLOHOSP.NS,3/26/20,SELL,1170,10
BALKRISIND.NS,3/26/20,BUY,815,13
BHARTIARTL.NS,3/26/20,BUY,455,22
BHARTIARTL.NS,3/26/20,SELL,465,22
CIPLA.NS,3/26/20,SELL,384,40
HDFCLIFE.NS,3/26/20,SELL,475,25
IPCALAB.NS,3/26/20,BUY,1250,5
IPCALAB.NS,3/26/20,BUY,1250,5
MARICO.NS,3/26/20,BUY,253,40
MGL.NS,3/26/20,SELL,822,10
PERSISTENT.NS,3/26/20,BUY,525,20
PIIND.NS,3/26/20,SELL,1041,10
RELIANCE.NS,3/26/20,BUY,1080,10
RELIANCE.NS,3/26/20,BUY,1055,5
RELIANCE.NS,3/26/20,SELL,1105,10
UPL.NS,3/26/20,SELL,315,38
VINATIORGA.NS,3/26/20,BUY,735,14
BHARTIARTL.NS,3/27/20,BUY,438,12
BIOCON.NS,3/27/20,BUY,284,36
BSE.NS,3/27/20,BUY,308,33
CRISIL.NS,3/27/20,BUY,1302,4
CRISIL.NS,3/27/20,BUY,1302,4
HDFCAMC.NS,3/27/20,BUY,2150,2
HDFCAMC.NS,3/27/20,BUY,2150,3
HDFCLIFE.NS,3/27/20,BUY,455,22
MGL.NS,3/27/20,BUY,870,12
MGL.NS,3/27/20,BUY,810,7
MGL.NS,3/27/20,SELL,910,11
PFIZER.NS,3/27/20,BUY,3805,3
RELIANCE.NS,3/27/20,BUY,1052,10
RELIANCE.NS,3/27/20,SELL,1090,5
TATAELXSI.NS,3/27/20,BUY,660,8
TATAELXSI.NS,3/27/20,BUY,660,2
TATAELXSI.NS,3/27/20,BUY,660,1
TATAELXSI.NS,3/27/20,BUY,660,5
TCS.NS,3/27/20,BUY,1775,3
TCS.NS,3/27/20,SELL,1798,9
TECHM.NS,3/27/20,BUY,516,20
UPL.NS,3/27/20,BUY,332,32
VINATIORGA.NS,3/27/20,BUY,801,13
VINATIORGA.NS,3/27/20,SELL,835,7
VINATIORGA.NS,3/27/20,SELL,825,7
AJANTPHARM.NS,3/30/20,SELL,1290,11
ALKEM.NS,3/30/20,BUY,2305,3
BAJAJCON.NS,3/30/20,BUY,125,40
BODALCHEM.NS,3/30/20,BUY,39,130
CADILAHC.NS,3/30/20,BUY,250,40
CDSL.NS,3/30/20,BUY,205,25
CONTROLPR.NS,3/30/20,BUY,190,27
CYIENT.NS,3/30/20,BUY,218,23
ECLERX.NS,3/30/20,BUY,378,17
ECLERX.NS,3/30/20,BUY,378,3
ECLERX.NS,3/30/20,BUY,378,10
GAIL.NS,3/30/20,BUY,70.5,145
GRAPHITE.NS,3/30/20,BUY,118,45
GRAPHITE.NS,3/30/20,BUY,118,40
HCLTECH.NS,3/30/20,BUY,425,12
HCLTECH.NS,3/30/20,BUY,425,2
HCLTECH.NS,3/30/20,BUY,425,10
HDFCBANK.NS,3/30/20,BUY,875,6
MOLDTKPAC.NS,3/30/20,BUY,165,31
VINATIORGA.NS,3/30/20,BUY,755,7
VINATIORGA.NS,3/30/20,SELL,790,7
AARTIDRUGS.NS,3/31/20,BUY,510,5
AARTIDRUGS.NS,3/31/20,BUY,510,5
AARTIDRUGS.NS,3/31/20,BUY,510,10
AJANTPHARM.NS,3/31/20,BUY,1340,4
ALKEM.NS,3/31/20,BUY,2330,2
AUROPHARMA.NS,3/31/20,BUY,401,26
BHARTIARTL.NS,3/31/20,BUY,435,30
BHARTIARTL.NS,3/31/20,BUY,442,30
BPCL.NS,3/31/20,BUY,300,34
CRISIL.NS,3/31/20,BUY,1250,4
DIVISLAB.NS,3/31/20,BUY,1913,5
GLENMARK.NS,3/31/20,BUY,200,26
GLENMARK.NS,3/31/20,BUY,200,26
HINDPETRO.NS,3/31/20,BUY,190,50
INDOCO.NS,3/31/20,BUY,214,24
INFY.NS,3/31/20,SELL,645,13
IPCALAB.NS,3/31/20,SELL,1390,5
KSCL.NS,3/31/20,BUY,340,30
LUPIN.NS,3/31/20,BUY,580,18
NIFTYBEES.NS,3/31/20,BUY,92.5,1000
RELIANCE.NS,3/31/20,BUY,1110,10
RELIANCE.NS,3/31/20,SELL,1090,5
RELIANCE.NS,3/31/20,SELL,1120,10
SUNPHARMA.NS,3/31/20,BUY,342,30
TCS.NS,3/31/20,SELL,1830,3
ULTRACEMCO.NS,3/31/20,BUY,3250,3
AJANTPHARM.NS,4/1/20,BUY,1340,8
ALKEM.NS,4/1/20,BUY,2350,5
CADILAHC.NS,4/1/20,BUY,265,38
CIPLA.NS,4/1/20,BUY,418,25
DIVISLAB.NS,4/1/20,BUY,1920,6
DRREDDY.NS,4/1/20,BUY,3085,4
GLENMARK.NS,4/1/20,BUY,208,55
INDOCO.NS,4/1/20,BUY,200,50
ITC.NS,4/1/20,BUY,170,60
JUBLPHARMA.NS,4/1/20,BUY,260,12
JUBLPHARMA.NS,4/1/20,BUY,260,2
JUBLPHARMA.NS,4/1/20,BUY,260,26
LUPIN.NS,4/1/20,BUY,585,18
METROPOLIS.NS,4/1/20,BUY,1296,7
RELIANCE.NS,4/1/20,BUY,1090,10
SONATSOFTW.NS,4/1/20,BUY,166,33
SONATSOFTW.NS,4/1/20,BUY,166,12
SONATSOFTW.NS,4/1/20,BUY,166,20
STAR.NS,4/1/20,BUY,330,32
TORNTPHARM.NS,4/1/20,BUY,1950,6
UNICHEMLAB.NS,4/1/20,BUY,143,240
AJANTPHARM.NS,4/3/20,BUY,1301,4
AJANTPHARM.NS,4/3/20,BUY,1301,4
ALKEM.NS,4/3/20,BUY,2260,2
ALKEM.NS,4/3/20,BUY,2260,3
BATAINDIA.NS,4/3/20,BUY,1190,9
BIOCON.NS,4/3/20,SELL,288,36
CIPLA.NS,4/3/20,SELL,445,12
GAIL.NS,4/3/20,SELL,79,145
GOLDBEES.NS,4/3/20,BUY,39,260
LALPATHLAB.NS,4/3/20,BUY,1338,8
LUPIN.NS,4/3/20,SELL,640,18
NATCOPHARM.NS,4/3/20,BUY,503,20
PIIND.NS,4/3/20,BUY,1160,9
TECHM.NS,4/3/20,BUY,520,10
TECHM.NS,4/3/20,BUY,520,2
TECHM.NS,4/3/20,BUY,520,8
TORNTPHARM.NS,4/3/20,SELL,2100,6
TTKPRESTIG.NS,4/3/20,BUY,4510,2
VINATIORGA.NS,4/3/20,BUY,750,14
AJANTPHARM.NS,4/7/20,SELL,1350,4
BAJAJCON.NS,4/7/20,SELL,138,40
BATAINDIA.NS,4/7/20,SELL,1260,9
CIPLA.NS,4/7/20,SELL,460,13
HDFC.NS,4/7/20,BUY,1550,7
HDFCAMC.NS,4/7/20,SELL,2198,5
ICICIBANK.NS,4/7/20,BUY,308,30
IPCALAB.NS,4/7/20,BUY,1510,7
IPCALAB.NS,4/7/20,BUY,1530,7
IPCALAB.NS,4/7/20,BUY,1475,4
ITC.NS,4/7/20,SELL,180,30
ITC.NS,4/7/20,SELL,180,30
KOTAKBANK.NS,4/7/20,BUY,1205,9
KOTAKBANK.NS,4/7/20,SELL,1190,9
LALPATHLAB.NS,4/7/20,SELL,1395,8
METROPOLIS.NS,4/7/20,SELL,1265,7
MGL.NS,4/7/20,SELL,870,12
NIFTYBEES.NS,4/7/20,BUY,92.5,300
NIFTYBEES.NS,4/7/20,BUY,92.1,200
PFIZER.NS,4/7/20,SELL,4280,3
STAR.NS,4/7/20,SELL,325,32
SYNGENE.NS,4/7/20,SELL,265,27
TECHM.NS,4/7/20,SELL,544,20
TTKPRESTIG.NS,4/7/20,SELL,4660,2
UNICHEMLAB.NS,4/7/20,SELL,147,140
VINATIORGA.NS,4/7/20,SELL,794,14
AARTIIND.NS,4/8/20,BUY,840,14
AARTIIND.NS,4/8/20,SELL,905,14
BAJAJCON.NS,4/8/20,BUY,138,75
BALKRISIND.NS,4/8/20,SELL,855,13
BHARATFORG.NS,4/8/20,BUY,240,42
BHARTIARTL.NS,4/8/20,BUY,465,12
BHARTIARTL.NS,4/8/20,SELL,470,12
BHARTIARTL.NS,4/8/20,SELL,488,12
BHARTIARTL.NS,4/8/20,SELL,485,30
BRITANNIA.NS,4/8/20,BUY,2780,4
CADILAHC.NS,4/8/20,SELL,349,38
GODREJCP.NS,4/8/20,BUY,570,18
GODREJCP.NS,4/8/20,BUY,586,18
HDFCLIFE.NS,4/8/20,SELL,480,22
ICICIBANK.NS,4/8/20,SELL,329,30
JUBLPHARMA.NS,4/8/20,BUY,307,33
JYOTHYLAB.NS,4/8/20,BUY,100,100
KSCL.NS,4/8/20,SELL,310,30
LUPIN.NS,4/8/20,BUY,705,15
NIFTYBEES.NS,4/8/20,BUY,93,100
NIFTYBEES.NS,4/8/20,BUY,93,100
NIFTYBEES.NS,4/8/20,SELL,93.8,200
NIFTYBEES.NS,4/8/20,SELL,94.8,300
NIFTYBEES.NS,4/8/20,SELL,95.1,500
PIIND.NS,4/8/20,SELL,1380,9
RELIANCE.NS,4/8/20,SELL,1208,10
SUNPHARMA.NS,4/8/20,BUY,420,24
TATACHEM.NS,4/8/20,BUY,228,45
ULTRACEMCO.NS,4/8/20,SELL,3320,3
UNICHEMLAB.NS,4/8/20,SELL,149,100
UPL.NS,4/8/20,SELL,337,32
VINATIORGA.NS,4/8/20,SELL,812,13
AARTIIND.NS,4/9/20,SELL,909,14
BANDHANBNK.NS,4/9/20,BUY,192,55
BHARATFORG.NS,4/9/20,SELL,239,40
BHARTIARTL.NS,4/9/20,SELL,483,12
BHARTIARTL.NS,4/9/20,SELL,487,30
BRITANNIA.NS,4/9/20,SELL,2795,4
CDSL.NS,4/9/20,SELL,220,25
CONTROLPR.NS,4/9/20,SELL,197,27
CRISIL.NS,4/9/20,SELL,1298,4
GLENMARK.NS,4/9/20,BUY,242,45
GLENMARK.NS,4/9/20,BUY,246,42
HDFCBANK.NS,4/9/20,SELL,915,6
HINDPETRO.NS,4/9/20,SELL,198,50
ICICIPRULI.NS,4/9/20,BUY,337,30
IPCALAB.NS,4/9/20,BUY,1650,7
JYOTHYLAB.NS,4/9/20,BUY,107,100
JYOTHYLAB.NS,4/9/20,BUY,111,100
JYOTHYLAB.NS,4/9/20,SELL,110,100
LALPATHLAB.NS,4/9/20,SELL,1440,10
